TeamID,Timestamp,Packet,State,Altitude,Pressure,Temp,Voltage,Lat,Lon,Sats,BNO_qi,BNO_qj,BNO_qk,BNO_qr,SHT_Temp,SHT_Hum,BME_Press,BME_Temp,BME_Hum,BME_Gas,BME_IAQ,BMP_Press,BMP_Temp,ADS_V
1234,2025-09-30 12:00:02,1,IDLE,404.1,1002.32,23.11,3.18,12.978891,77.588138,6,-0.0246,-0.6345,0.033,0.5816,20.72,54.06,973.43,18.84,74.04,28084,47,934.4,-7.44,1.607
1234,2025-09-30 12:00:04,2,IDLE,135.51,890.97,16.83,3.61,12.961817,77.587512,11,-0.9316,0.154,0.0158,0.0634,14.07,82.52,943.34,39.49,60.75,19570,17,1008.16,20.01,4.481
1234,2025-09-30 12:00:06,3,IDLE,334.24,852.49,-7.7,3.62,12.973308,77.594676,9,0.7703,-0.1546,0.2056,-0.3049,35.21,73.93,877.87,28.11,87.5,19941,384,903.94,31.88,2.777
1234,2025-09-30 12:00:08,4,DESCENT,441.05,915.71,38.27,3.72,12.980035,77.597334,12,0.2209,0.919,-0.6463,0.0676,-3.54,75.67,995.92,31.48,24.88,26095,383,942.56,29.74,0.805
1234,2025-09-30 12:00:10,5,IDLE,250.11,824.36,9.68,3.85,12.975401,77.589309,8,-0.4032,-0.9187,-0.3921,-0.223,14.34,23.36,804.96,25.26,66.53,41872,465,815.6,13.64,4.302
1234,2025-09-30 12:00:12,6,LANDED,592.15,954.06,-4.01,3.77,12.969918,77.595248,14,-0.9988,-0.9918,0.7487,-0.6863,-3.06,54.98,1001.97,-5.61,83.69,18533,96,962.99,20.37,2.714
1234,2025-09-30 12:00:14,7,LANDED,976.63,962.78,2.84,3.79,12.96727,77.602601,14,-0.3013,0.8275,0.6254,-0.5226,14.01,57.03,873.8,8.34,22.27,47866,228,870.93,18.97,2.644
1234,2025-09-30 12:00:16,8,DESCENT,225.9,907.94,21.8,3.07,12.979284,77.592194,7,0.9093,0.2548,0.2869,0.6452,-5.74,51.11,817.45,29.71,68.51,44755,84,994.31,25.57,0.861
1234,2025-09-30 12:00:18,9,LANDED,655.92,902.12,14.32,3.26,12.972189,77.596632,7,-0.8375,0.4532,-0.1131,0.2965,-0.25,24.17,932.59,-5.82,73.59,27945,443,860.84,19.17,0.884
1234,2025-09-30 12:00:20,10,IDLE,482.04,881.11,-3.19,3.95,12.970108,77.591567,7,-0.3819,-0.6425,0.6383,-0.1294,-0.75,87.16,889.06,25.74,66.64,41617,460,882.84,1.45,3.724
1234,2025-09-30 12:00:22,11,LANDED,264.53,869.93,34.6,3.1,12.961636,77.589492,5,0.6291,0.6183,0.6838,0.838,-9.15,60.66,884.24,-5.65,77.1,20119,465,836.57,20.72,0.177
1234,2025-09-30 12:00:24,12,DESCENT,496.81,1013.5,25.24,3.44,12.971707,77.59741,11,0.2505,-0.1237,0.9385,0.9674,-6.29,64.57,811.05,18.13,32.03,22854,197,947.43,23.56,4.97
1234,2025-09-30 12:00:26,13,DESCENT,518.01,962.76,10.17,3.83,12.973715,77.603589,15,-0.9492,-0.0399,-0.2315,0.6309,31.55,77.17,897.52,12.65,25.0,43579,239,951.48,18.86,2.607
1234,2025-09-30 12:00:28,14,ASCENT,331.86,914.15,-5.28,3.95,12.97833,77.592385,8,-0.4742,-0.0082,0.8129,0.7502,9.85,66.12,950.26,31.75,23.49,34177,278,1008.59,-3.17,4.184
1234,2025-09-30 12:00:30,15,ASCENT,576.75,942.4,-6.16,3.85,12.972781,77.599977,7,0.4326,0.5351,0.2629,-0.2014,10.2,82.96,825.31,37.67,28.93,19556,191,958.87,25.56,2.124
1234,2025-09-30 12:00:32,16,IDLE,782.2,846.3,19.27,3.54,12.973527,77.589998,12,0.8441,-0.431,0.3605,0.9501,12.44,42.28,933.95,-8.55,74.91,44415,484,962.73,23.83,1.993
1234,2025-09-30 12:00:34,17,DESCENT,333.93,1003.72,-7.03,3.21,12.975465,77.598562,12,0.3035,-0.5453,0.3938,-0.6107,2.97,21.35,966.55,5.87,76.9,29394,26,801.93,37.96,3.716
1234,2025-09-30 12:00:36,18,ASCENT,220.6,994.69,33.71,3.75,12.975673,77.594084,14,0.4921,0.9667,0.1507,0.8156,29.48,68.65,910.69,23.56,82.93,18737,105,896.12,-5.91,0.864
1234,2025-09-30 12:00:38,19,DESCENT,315.82,882.14,21.51,3.12,12.980941,77.598456,12,0.0622,-0.3128,-0.3469,-0.3511,1.4,68.73,806.16,-6.06,25.26,39719,217,900.15,1.59,1.062
1234,2025-09-30 12:00:40,20,ASCENT,727.59,893.65,30.33,3.34,12.9621,77.604596,15,-0.4839,0.0781,-0.7222,-0.9809,31.12,80.01,1000.41,-6.76,68.59,19849,314,900.89,-0.73,4.231
1234,2025-09-30 12:00:42,21,IDLE,809.68,1009.77,-1.88,3.48,12.978419,77.5882,10,-0.8598,0.0522,-0.2871,-0.3168,-0.14,85.04,846.29,-9.57,67.19,22887,272,896.73,14.84,3.696
1234,2025-09-30 12:00:44,22,IDLE,577.08,851.41,17.82,3.03,12.972548,77.587998,6,-0.5943,-0.7007,0.6623,0.774,8.75,38.04,961.36,33.33,71.35,25855,326,827.94,24.03,2.048
1234,2025-09-30 12:00:46,23,ASCENT,796.0,914.1,28.87,3.03,12.963831,77.59574,11,0.9489,0.2266,0.4544,-0.9328,23.75,57.67,1005.47,31.0,61.39,44871,208,813.82,11.9,3.549
1234,2025-09-30 12:00:48,24,IDLE,426.29,1012.28,16.12,3.93,12.977092,77.586374,14,0.2517,-0.0921,-0.2434,0.4264,2.66,58.73,864.93,21.04,75.74,23375,36,959.86,13.73,4.3
1234,2025-09-30 12:00:50,25,DESCENT,714.79,952.34,34.51,3.34,12.967975,77.591427,11,0.7641,0.9392,0.8533,-0.6131,24.46,26.75,1009.33,35.08,74.39,17519,6,904.46,29.17,0.422
1234,2025-09-30 12:00:52,26,LANDED,319.53,910.12,-8.77,4.01,12.96224,77.587201,11,0.771,0.1214,0.8953,-0.054,7.6,72.45,854.89,25.61,65.63,49065,452,952.46,1.88,0.611
1234,2025-09-30 12:00:54,27,DESCENT,821.02,984.03,29.76,3.66,12.97411,77.596959,7,0.9829,-0.9481,-0.5525,0.8771,6.22,64.92,809.38,6.79,73.26,28784,107,1005.01,23.16,0.079
1234,2025-09-30 12:00:56,28,LANDED,851.1,959.15,-5.42,3.09,12.961704,77.597894,12,-0.2905,-0.4966,0.1207,0.96,19.36,79.63,994.15,-3.8,58.46,31578,11,910.97,-1.45,0.872
1234,2025-09-30 12:00:58,29,ASCENT,429.61,820.21,-4.12,3.94,12.963773,77.594928,14,0.5209,-0.4783,-0.1123,-0.7342,33.16,75.04,899.45,-5.56,70.48,18035,242,887.48,-2.01,2.695
1234,2025-09-30 12:01:00,30,IDLE,440.69,909.43,28.17,4.02,12.977195,77.600253,9,-0.3572,-0.8509,0.0079,-0.7931,38.09,49.06,904.14,38.69,43.0,10221,217,926.81,38.61,3.39
1234,2025-09-30 12:01:02,31,ASCENT,490.18,925.68,3.21,4.07,12.969407,77.601689,13,-0.573,0.5971,0.236,0.0263,-1.65,58.11,949.51,4.27,70.2,30813,186,888.81,9.35,1.074
1234,2025-09-30 12:01:04,32,IDLE,935.95,821.87,0.77,3.77,12.976707,77.602863,9,-0.2195,-0.2863,0.7139,0.1506,5.69,46.26,856.95,6.69,61.74,13219,320,928.39,-8.63,3.152
1234,2025-09-30 12:01:06,33,ASCENT,765.53,860.46,18.63,3.28,12.968355,77.59238,5,-0.1759,0.4235,0.9131,0.4496,8.28,56.29,846.71,3.93,89.82,19193,389,881.49,10.42,2.924
1234,2025-09-30 12:01:08,34,ASCENT,199.34,988.38,-4.55,3.11,12.967681,77.601917,9,-0.1215,0.6186,-0.1692,0.7591,9.1,28.52,870.64,13.68,33.39,39003,498,989.96,-2.71,1.889
1234,2025-09-30 12:01:10,35,IDLE,402.21,1006.59,18.43,3.34,12.98159,77.591312,15,0.6532,-0.1342,0.3394,0.0624,14.47,74.91,956.14,11.67,84.91,23619,169,928.02,3.86,4.558
1234,2025-09-30 12:01:12,36,DESCENT,217.68,868.66,25.5,3.17,12.967368,77.587203,10,0.1629,-0.1353,0.1207,0.8194,3.83,45.54,879.15,16.49,47.09,36486,78,909.66,14.6,3.178
1234,2025-09-30 12:01:14,37,IDLE,351.68,863.0,1.85,3.22,12.97883,77.596053,7,-0.2348,0.7353,-0.1069,-0.0581,-2.87,26.95,812.16,-8.37,28.67,22955,176,851.88,-6.73,2.534
1234,2025-09-30 12:01:16,38,DESCENT,538.72,836.22,25.42,3.59,12.980884,77.596204,5,0.0596,-0.3293,-0.9017,-0.7124,0.45,61.07,850.94,21.64,46.2,38289,497,937.89,20.26,4.515
1234,2025-09-30 12:01:18,39,DESCENT,419.6,846.54,-4.31,3.91,12.970531,77.595015,7,-0.2675,0.5249,-0.6793,0.0456,15.14,82.09,999.56,11.56,78.23,14822,279,819.15,24.5,0.445
1234,2025-09-30 12:01:20,40,DESCENT,559.38,951.82,27.7,3.33,12.975785,77.591247,12,-0.2841,-0.1041,-0.4517,-0.7937,22.26,84.57,921.53,-2.0,66.32,41621,489,932.35,26.55,0.21
1234,2025-09-30 12:01:22,41,DESCENT,198.28,832.59,1.33,4.01,12.968204,77.604166,14,-0.7898,0.0611,0.1545,0.5759,29.51,58.36,810.29,33.24,25.29,20256,154,951.2,9.41,0.904
1234,2025-09-30 12:01:24,42,DESCENT,873.11,880.52,-1.75,3.61,12.975168,77.589454,7,-0.4184,-0.9913,0.9317,-0.8153,17.25,65.19,931.56,23.18,23.33,25388,178,888.85,11.27,0.898
1234,2025-09-30 12:01:26,43,IDLE,713.44,1011.86,16.21,3.66,12.965321,77.60079,9,0.7341,-0.673,0.0115,0.9944,20.99,88.79,819.96,35.4,39.62,45808,130,876.84,-7.11,4.416
1234,2025-09-30 12:01:28,44,ASCENT,498.52,813.44,23.09,3.86,12.974232,77.599703,12,-0.179,0.8602,0.8031,0.6643,3.46,39.47,962.02,-8.16,47.03,23686,430,982.63,12.61,0.493
1234,2025-09-30 12:01:30,45,DESCENT,672.1,919.61,25.47,3.59,12.962333,77.601679,6,0.0122,0.0752,-0.8855,-0.7023,18.69,79.03,911.4,-6.96,41.03,36080,455,820.87,-7.18,3.603
1234,2025-09-30 12:01:32,46,DESCENT,823.37,955.24,32.8,3.55,12.973841,77.59996,14,-0.7064,0.447,0.9339,0.7221,-4.16,59.64,816.03,31.39,27.34,41576,217,840.06,8.42,0.778
1234,2025-09-30 12:01:34,47,LANDED,506.58,1000.86,13.23,3.14,12.970216,77.600917,14,0.042,-0.5697,0.4567,-0.6966,38.35,28.53,863.83,31.23,51.29,12731,470,870.84,38.51,0.293
1234,2025-09-30 12:01:36,48,ASCENT,731.37,838.15,17.0,3.76,12.980775,77.597843,5,-0.3765,-0.9076,-0.5056,-0.206,16.62,51.89,904.79,12.65,25.17,40821,374,968.3,39.38,3.72
1234,2025-09-30 12:01:38,49,DESCENT,265.64,879.71,10.5,4.0,12.970766,77.586834,7,-0.4583,0.2043,-0.3466,-0.8172,5.18,88.28,966.55,5.08,82.4,46049,328,859.56,31.06,3.056
1234,2025-09-30 12:01:40,50,DESCENT,826.13,849.98,35.72,3.56,12.977209,77.599986,11,-0.7096,-0.7715,-0.0994,-0.3963,15.37,61.63,994.43,28.36,68.48,39403,393,855.34,38.12,2.74
1234,2025-09-30 12:01:42,51,DESCENT,279.62,878.8,4.58,3.04,12.971796,77.604301,14,0.6346,-0.0478,0.1518,-0.458,-1.83,82.57,877.81,33.78,39.64,44613,467,1011.5,-1.7,3.487
1234,2025-09-30 12:01:44,52,LANDED,447.28,842.28,-3.87,3.36,12.979739,77.594097,11,0.0284,0.4077,-0.8309,-0.8986,8.3,57.01,887.16,19.6,76.46,40988,162,970.09,14.89,4.97
1234,2025-09-30 12:01:46,53,LANDED,567.28,981.37,25.68,3.94,12.972259,77.584762,11,0.8168,-0.0329,0.4143,-0.5267,32.3,25.28,888.59,-4.07,20.77,30084,464,895.93,-2.35,4.204
1234,2025-09-30 12:01:48,54,IDLE,335.87,928.08,-7.19,3.36,12.968559,77.59763,11,0.5542,0.0431,-0.221,0.4165,25.42,22.79,977.26,-0.54,74.0,47395,305,867.3,1.53,3.282
1234,2025-09-30 12:01:50,55,ASCENT,828.66,813.84,35.18,3.35,12.968363,77.585337,11,-0.4747,0.5408,0.2609,0.5932,39.63,26.02,848.54,5.95,58.57,35365,212,959.36,-7.62,1.741
1234,2025-09-30 12:01:52,56,ASCENT,733.77,842.26,37.08,3.96,12.970503,77.591826,7,-0.6275,-0.9946,-0.2449,-0.5031,37.18,69.1,945.64,4.02,71.76,39478,13,889.74,22.74,1.919
1234,2025-09-30 12:01:54,57,ASCENT,319.6,911.46,24.95,3.54,12.969472,77.604062,13,0.9183,-0.3638,0.7222,0.7012,-1.19,63.36,851.15,30.28,28.43,16426,407,817.51,13.52,2.359
1234,2025-09-30 12:01:56,58,ASCENT,763.77,935.01,15.88,3.25,12.962816,77.599985,10,-0.8159,0.7344,0.0292,0.6605,35.22,81.76,906.29,23.17,37.46,44456,19,906.56,36.79,2.288
1234,2025-09-30 12:01:58,59,ASCENT,353.46,988.11,11.51,3.36,12.965404,77.587601,5,0.069,0.7945,-0.3875,-0.4085,28.37,67.35,928.45,-1.11,60.34,13805,210,916.58,15.61,2.671
1234,2025-09-30 12:02:00,60,ASCENT,558.32,920.91,-7.7,3.05,12.964939,77.589117,10,-0.5186,0.2221,-0.5242,-0.3973,25.6,75.79,869.84,20.87,85.82,16805,221,1000.98,16.65,3.919
1234,2025-09-30 12:02:02,61,DESCENT,137.3,970.62,-8.64,3.64,12.979587,77.584911,13,0.9558,-0.2222,0.7253,-0.161,22.64,21.82,989.33,-2.97,32.52,33727,278,919.08,37.87,0.238
1234,2025-09-30 12:02:04,62,IDLE,728.42,905.15,24.1,3.23,12.969715,77.585351,10,-0.1093,-0.4362,0.5726,0.3476,35.27,58.17,950.8,15.0,38.88,41378,86,967.32,17.73,1.586
1234,2025-09-30 12:02:06,63,ASCENT,458.29,919.83,-6.48,3.02,12.980247,77.588026,5,0.7038,0.114,0.6669,-0.039,13.1,21.89,909.36,3.91,31.67,23528,41,993.26,-3.37,1.331
1234,2025-09-30 12:02:08,64,IDLE,460.12,842.07,6.2,4.1,12.971169,77.588721,5,0.9128,0.0064,-0.1598,-0.6386,39.16,41.47,904.9,39.79,49.89,11275,319,1002.8,32.82,2.133
1234,2025-09-30 12:02:10,65,DESCENT,977.85,803.17,4.46,4.19,12.969599,77.60075,13,-0.3462,0.5755,-0.8798,0.5841,3.74,73.27,904.55,25.45,37.25,31208,251,806.73,22.57,2.312
1234,2025-09-30 12:02:12,66,LANDED,236.27,841.93,39.54,3.29,12.975056,77.585712,12,0.8932,-0.921,0.4949,0.1438,-0.81,69.46,1006.87,36.1,55.89,33665,282,920.38,6.45,2.21
1234,2025-09-30 12:02:14,67,ASCENT,436.58,1012.85,31.71,3.2,12.969299,77.600456,5,0.9272,0.9585,0.5107,-0.7088,6.31,66.56,861.0,-9.65,34.01,22638,87,876.12,2.27,0.398
1234,2025-09-30 12:02:16,68,IDLE,125.45,834.47,-1.44,4.19,12.963543,77.588776,6,0.3226,-0.5317,0.1927,-0.6107,-9.43,74.86,973.66,14.1,36.92,14190,312,932.25,-7.68,2.012
1234,2025-09-30 12:02:18,69,IDLE,129.33,852.83,25.51,3.86,12.963582,77.602145,7,0.8197,0.2413,0.5104,0.4847,2.12,72.26,809.88,19.66,64.74,21193,339,952.09,5.85,2.983
1234,2025-09-30 12:02:20,70,ASCENT,503.86,870.25,15.69,3.25,12.966878,77.591253,9,0.4657,0.0305,-0.4692,-0.4751,9.49,33.24,814.45,20.02,80.68,31272,4,812.32,-8.44,1.534
1234,2025-09-30 12:02:22,71,ASCENT,653.47,904.26,9.35,3.85,12.961871,77.60088,12,-0.7739,-0.5635,-0.3125,-0.1423,23.33,39.77,1007.57,16.66,85.37,40636,8,807.05,12.24,0.267
1234,2025-09-30 12:02:24,72,IDLE,709.88,874.16,23.01,4.13,12.966546,77.590831,14,0.7253,-0.5716,-0.5828,-0.5528,19.02,35.79,1000.77,2.8,87.11,23965,446,945.69,14.15,1.983
